"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0G900","2020-02-15 00:00:00","20.000","24.000","4.000","20.600","0.960","1013.800","","2.500","-99.000","-99.000","-99.000","26.000","","19.600",""
"C0AD40","2020-02-15 00:00:00","32.000","0.000","0.100","18.800","0.920","1015.000","","0.000","-99.000","-99.000","-99.000","27.300","","18.200",""
"C0UA00","2020-02-15 00:00:00","392.000","289.000","0.800","19.300","0.920","974.300","","0.000","-99.000","-99.000","-99.000","26.600","","15.900",""
"C0I080","2020-02-15 00:00:00","536.000","0.000","0.000","17.700","0.910","959.700","","0.000","-99.000","-99.000","-99.000","26.200","","15.800",""
"C0UA30","2020-02-15 00:00:00","1397.000","140.000","0.400","14.100","1.000","865.000","","0.000","-99.000","-99.000","-99.000","18.200","","12.400",""
"C0Z270","2020-02-15 00:00:00","343.000","0.000","0.000","20.700","0.970","978.600","","0.000","-99.000","-99.000","-99.000","24.000","","19.000",""
"C0G750","2020-02-15 00:00:00","31.000","353.000","1.500","20.300","0.910","1014.700","","0.000","-99.000","-99.000","-99.000","28.400","","19.100",""
"C0A550","2020-02-15 00:00:00","422.000","-99.000","-99.000","-99.000","-99.000","-99.000","","-99.000","-99.000","-99.000","-99.000","-999.000","","-999.000",""
"C0G830","2020-02-15 00:00:00","27.000","7.000","1.500","20.300","0.990","1012.500","","0.500","-99.000","-99.000","-99.000","27.800","","19.000",""
"C0E810","2020-02-15 00:00:00","53.000","13.000","1.500","18.000","0.990","1012.700","","0.000","-99.000","-99.000","-99.000","27.000","","15.700",""
"C0R640","2020-02-15 00:00:00","21.000","149.000","2.300","25.200","0.890","1014.800","","0.000","-99.000","-99.000","-99.000","27.500","","20.900",""
"C0D580","2020-02-15 00:00:00","120.000","0.000","0.000","18.300","0.950","1004.500","","0.500","-99.000","-99.000","-99.000","26.900","","14.800",""
"C0M660","2020-02-15 00:00:00","40.000","54.000","1.500","21.000","0.930","1012.900","","0.000","-99.000","-99.000","-99.000","27.700","","19.700",""
"C0K330","2020-02-15 00:00:00","38.000","22.000","0.400","20.800","0.960","1012.500","","2.500","-99.000","-99.000","-99.000","28.800","","19.100",""
"C0E830","2020-02-15 00:00:00","37.000","42.000","2.300","19.500","0.920","1013.600","","0.000","-99.000","-99.000","-99.000","24.200","","17.800",""
"C0X290","2020-02-15 00:00:00","10.000","32.000","2.100","21.800","0.900","1015.600","","0.000","-99.000","-99.000","-99.000","26.400","","20.800",""
"C0U760","2020-02-15 00:00:00","22.000","0.000","0.000","21.000","0.990","1016.600","","0.000","-99.000","-99.000","-99.000","27.100","","20.200",""
"C0U780","2020-02-15 00:00:00","15.000","8.000","0.700","20.500","0.990","1016.500","","0.000","-99.000","-99.000","-99.000","25.500","","20.400",""
"C0H9C0","2020-02-15 00:00:00","3402.000","328.000","1.300","3.200","0.970","678.800","","6.000","-99.000","-99.000","-99.000","5.900","","1.000",""
"C0V650","2020-02-15 00:00:00","28.000","95.000","2.200","22.300","0.960","1015.300","","3.000","-99.000","-99.000","-99.000","27.100","","21.000",""
"C0R720","2020-02-15 00:00:00","214.000","260.000","0.800","23.100","0.950","992.800","","7.500","-99.000","-99.000","-99.000","26.500","","20.800",""
"C0K470","2020-02-15 00:00:00","97.000","0.000","0.000","21.700","0.980","1005.800","","0.000","-99.000","-99.000","-99.000","27.900","","17.400",""
"C0T9N0","2020-02-15 00:00:00","261.000","180.000","1.400","22.400","0.930","988.100","","0.000","-99.000","-99.000","-99.000","28.400","","16.800",""
"CM0180","2020-02-15 00:00:00","313.000","285.000","0.300","20.900","0.960","982.100","","3.000","-99.000","-99.000","-99.000","29.400","","16.400",""
"C0Z070","2020-02-15 00:00:00","247.000","345.000","3.700","21.200","0.990","988.900","","0.000","-99.000","-99.000","-99.000","28.900","","18.300",""
"C0Z280","2020-02-15 00:00:00","224.000","228.000","1.100","21.200","0.990","992.900","","0.000","-99.000","-99.000","-99.000","26.900","","19.100",""
"C0SA40","2020-02-15 00:00:00","200.000","249.000","0.600","20.900","0.930","995.000","","0.500","-99.000","-99.000","-99.000","28.500","","16.100",""
